Programa de financiación;Título;Ce.gestor;Funcional;Económico;Fondo;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2022/000206;BANDA SINFÓNICA MUNICIPAL. INSTRUMENTOS MUSICALES Y MATERIAL PARA DEPÓSITO Y TRANSPORTE;001130;33405;62999;;40.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2009/000430;BIBLIOTECA MUNICIPAL EN BARRIO DE SAN FERMÍN. CONSTRUCCIÓN;001130;33601;62200;;4.747,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;212;USERA
2018/006051;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";001130;33601;63200;;563.301,00;10;CULTURA;02;MUSEOS Y COLECCIONES;221;BARAJAS
2019/000527;MUSEO DE SAN ISIDRO. OBRAS ADECUACIÓN PARA SOSTENIBILIDAD;001130;33601;63900;;98.153,00;10;CULTURA;02;MUSEOS Y COLECCIONES;201;CENTRO
2022/000053;MONUMENTO A LAS VÍCTIMAS DEL TERRORISMO. INSTALACIÓN;001130;33601;60900;;350.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;204;SALAMANCA
2022/000055;INTERVENCIONES COMPARTIENDO MUROS ARTE PÚBLICO MADRID;001130;33601;60900;;215.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2022/001381;PUERTA DE ALCALÁ. OBRAS DE CONSERVACIÓN Y RESTAURACIÓN;001130;33601;61900;;220.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;204;SALAMANCA
2022/001446;BASE DE DATOS ONLINE PARA EL SISTEMA DE GESTIÓN DEL PAISAJE DE LA LUZ: PASEO DEL PRADO Y BUEN RETIRO;001130;33601;64100;;5.080,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;998;VARIOS DISTRITOS
2023/000243;ESCULTURAS SAN ISIDRO Y SANTA MARÍA DE LA CABEZA EN EL PUENTE DE TOLEDO. RESTAURACIÓN;001130;33601;61900;;70.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;998;VARIOS DISTRITOS
2023/003046;MONUMENTO REPRODUCCIÓN DE LA ESTELA CHAVÍN EN LA PLAZA DEL PERÚ. INSTALACIÓN (ID 22: 17513);001130;33601;60900;5;40.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;205;CHAMARTIN
2023/003047;PLACA CONMEMORATIVA A LOS ASESINADOS EN LA CHECA DEL CINE EUROPA,TETUÁN. INSTALACIÓN (ID 22: 18169);001130;33601;60900;5;5.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;206;TETUAN
2023/003048;PLACA HOMENAJE AUXILIARES SERVICIO AYUDA DOMICILIO MUNICIPAL DE CHAMBERÍ. INSTALACIÓN (ID 22: 18198);001130;33601;60900;5;3.500,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;207;CHAMBERI
2023/003049;BUSTO EN HOMENAJE A LA CHAMBERILERA FEDERICA MONTSENY. INSTALACIÓN (ID 22: 18691);001130;33601;60900;5;18.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;207;CHAMBERI
2021/000606;REPOSICIÓN DE CÉSPED ARTIFICIAL EN CAMPOS DE FÚTBOL INSTALACIONES DEPORTIVAS MADRID;001131;34201;63200;;620.646,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;998;VARIOS DISTRITOS
2021/001117;DEPORTIVO BÁSICO LOS POBLADOS. ACONDICIONAMIENTO CAMPO DE FÚTBOL Y VESTUARIOS;001131;34201;63200;;430;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;211;CARABANCHEL
2021/001118;PARQUE PARA DEPORTES URBANOS EN EL DISTRITO VILLAVERDE. CONSTRUCCIÓN;001131;34201;62200;;3.885,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;217;VILLAVERDE
2021/001118;PARQUE PARA DEPORTES URBANOS EN EL DISTRITO VILLAVERDE. CONSTRUCCIÓN;001131;34201;62200;5;1.600.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;217;VILLAVERDE
2022/000049;DEPORTIVO BÁSICO MARTÍN TEMIÑO. OBRAS ACONDICIONAMIENTO BAJO GRADAS;001131;34201;63200;;305.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;208;FUENCARRAL-EL PARDO
2022/001024;DEPORTIVO BÁSICO ARJONA. OBRAS DE ACONDICIONAMIENTO Y REFORMA;001131;34201;63200;;2.241,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;210;LATINA
2022/001024;DEPORTIVO BÁSICO ARJONA. OBRAS DE ACONDICIONAMIENTO Y REFORMA;001131;34201;63200;5;720.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;210;LATINA
2022/001481;DEPORTIVO BÁSICO PIQUEÑAS. ADECUACIÓN CAMPO DE FÚTBOL CÉSPED ARTIFICIAL Y VESTUARIOS;001131;34201;63200;5;190.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;211;CARABANCHEL
2022/001482;DEPORTIVO BÁSICO SANTA RITA. ADECUACIÓN CAMPO DE FÚTBOL CÉSPED ARTIFICIAL Y VESTUARIOS;001131;34201;61999;5;300.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;211;CARABANCHEL
2023/000282;DEPORTIVO BÁSICO PARQUE LINEAL DEL MANZANARES. SUSTITUCIÓN DE CÉSPED;001131;34201;61999;5;1.000.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;212;USERA
2023/000283;DEPORTIVO BÁSICO PARQUE DE LA VICALVARADA. SUSTITUCIÓN DE CÉSPED;001131;34201;61999;5;500.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;219;VICALVARO
2023/000151;OTROS GASTOS DE INVERSIÓN OBRAS REFORMA COMERCIO;001140;43100;63200;;35.000,00;14;SECTORES PRODUCTIVOS;00;COMERCIO;998;VARIOS DISTRITOS
2023/000152;MERCADO DE SAN CRISTÓBAL. SUSTITUCIÓN DE LA CUBIERTA E INSTALACION DE PLACAS FOTOVOLTAICAS;001140;43100;63200;;230.000,00;14;SECTORES PRODUCTIVOS;00;COMERCIO;205;CHAMARTIN
2023/000109;CENTRO INNOVACIÓN MADRID INTERNATIONAL LAB. INSTALACIONES DOMÓTICAS;001140;43300;62301;;39.999,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2023/000112;OFICINA DE MADRID INVESTMENT ATTRACTION. PUNTOS DE ANCLAJE PARA SEGURIDAD EN VENTANAS;001140;43300;62301;;15.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;201;CENTRO
2023/000113;CENTRO MADRID INTERNATIONAL LAB. MEDIDAS SEGURIDAD EN ACCESO A LUCERNARIOS;001140;43300;62301;;13.001,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2023/000114;CENTRO MADRID INTERNATIONAL LAB. INSTALACIONES DE SEGURIDAD;001140;43300;62301;;2.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2023/000114;CENTRO MADRID INTERNATIONAL LAB. INSTALACIONES DE SEGURIDAD;001140;43300;63301;;20.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2023/000115;OFICINA DE MADRID INVESTMENT ATTRACTION. INSTALACIÓN DE DETECTORES EN DESPACHOS;001140;43300;63301;;2.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;201;CENTRO
2023/000116;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS ÁREA DE GOBIERNO DE ECONOMÍA, INNOVACIÓN Y EMPLEO;001140;43300;62500;;25.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000118;OFICINA DE MADRID INVESTMENT ATTRACTION. OBRAS DE MEJORA;001140;43300;63200;;3.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;201;CENTRO
2023/000119;CENTRO MADRID INTERNATIONAL LAB. OBRAS DE MEJORA;001140;43300;63200;;3.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2023/000023;FACTORÍAS INDUSTRIALES. INSTALACIONES TÉCNICAS;001140;43301;62301;;10.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2023/000023;FACTORÍAS INDUSTRIALES. INSTALACIONES TÉCNICAS;001140;43301;63301;;30.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2023/000245;EQUIPAMIENTO RED DE FACTORÍAS INDUSTRIALES;001140;43301;62599;;16.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2023/000245;EQUIPAMIENTO RED DE FACTORÍAS INDUSTRIALES;001140;43301;63599;;10.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2023/000390;FACTORÍA INDUSTRIAL DE VICÁLVARO. ACONDICIONAMIENTO DESNIVEL DEL TERRENO;001140;43301;63100;;145.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2021/000334;EQUIPAMIENTO CENTRO DE INNOVACIÓN ECONOMÍA CIRCULAR (CIEC) VICÁLVARO, C/ PRAT, 59;001140;43307;62300;5;72.600,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2021/000334;EQUIPAMIENTO CENTRO DE INNOVACIÓN ECONOMÍA CIRCULAR (CIEC) VICÁLVARO, C/ PRAT, 59;001140;43307;62599;5;50.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2021/000335;CENTRO INNOVACIÓN ECONOMÍA CIRCULAR VICÁLVARO, (CIEC) C/ PRAT, 59. APLICACIONES INFORMÁTICAS;001140;43307;64100;5;25.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2021/000336;CENTRO INNOVACIÓN ECONOMÍA CIRCULAR VICÁLVARO (CIEC), C/ PRAT, 59. EQUIPOS COMUNICACIÓN;001140;43307;62600;5;25.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2022/001488;CENTRO INNOVACIÓN ECONOMÍA CIRCULAR VICÁLVARO, (CIEC). ADQUISICIÓN EQUIPOS INFORMÁTICOS;001140;43307;62601;5;54.450,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2023/000310;CENTRO DE INNOVACIÓN ECONOMÍA CIRCULAR (CIEC) VICÁLVARO. OBRAS DE REFORMA;001140;43307;63200;5;145.200,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;219;VICALVARO
2021/001580;PABELLONES ICONA I Y II CASA DE CAMPO. REFORMA PARA CAMPUS DEL VIDEOJUEGO;001140;43375;63900;;52.121,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;209;MONCLOA-ARAVACA
2022/000413;ELABORACIÓN DEL MANUAL DE IDENTIDAD DE LA MARCA MADRID;001140;92402;64001;;120.680,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2023/000170;EQUIPAMIENTO VIVEROS DE EMPRESA;001141;43305;62300;;30.000,00;14;SECTORES PRODUCTIVOS;01;PROMOCIÓN ECONÓMICA;998;VARIOS DISTRITOS
2023/000191;EQUIPAMIENTO CENTRO DE INNOVACIÓN ARAVACA INNOVATION LAB;001141;46200;62599;;18.150,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;209;MONCLOA-ARAVACA
2023/000196;CENTRO DE INNOVACIÓN LA NAVE. OBRAS DE REFORMA;001141;46200;63200;;48.400,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;217;VILLAVERDE
2023/000198;CENTRO DE INNOVACIÓN MADRID INTERNATIONAL LAB. OBRAS DE REFORMA;001141;46200;63200;;48.400,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;201;CENTRO
2021/001367;EQUIPAMIENTO CENTRO DE INTELIGENCIA ARTIFICIAL, C/ BRAVO MURILLO, 37-39;001141;46300;62599;;36.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;207;CHAMBERI
2021/001367;EQUIPAMIENTO CENTRO DE INTELIGENCIA ARTIFICIAL, C/ BRAVO MURILLO, 37-39;001141;46300;62600;;130.000,00;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;207;CHAMBERI
2018/008211;SEÑALIZACIÓN VIARIO EN CALLES CON POCA VISIBILIDAD DISTRITO DE SAN BLAS-CANILLEJAS (ID 18: 633);001150;13301;60912;;18.150,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;220;SAN BLAS - CANILLEJAS
2019/000351;ADQUISICIÓN DE MOTOS PARA LOS AGENTES DE MOVILIDAD;001150;13301;63400;;270.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2020/000140;SERVICIOS AGENTES DE MOVILIDAD. MOBILIARIO SALÓN DE ACTOS;001150;13301;62500;;70.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2020/000160;EDIFICIO SILO AGENTES DE MOVILIDAD. OBRAS ADECUACIÓN DE SEGURIDAD;001150;13301;63200;;90.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;209;MONCLOA-ARAVACA
2020/000178;SERVICIOS DE TRÁFICO, AGENTES DE MOVILIDAD. MOBILIARIO;001150;13301;63500;;20.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2021/000144;EDIFICIO C/ALBARRACÍN, 33. MEJORA PLAN AUTOPROTECCIÓN Y PREVENCIÓN RIESGOS LABORALES;001150;13301;63200;;100.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;220;SAN BLAS - CANILLEJAS
2021/000156;TAQUILLAS PARA LOS AGENTES DE MOVILIDAD;001150;13301;63500;;160.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2023/000042;SERVICIOS AGENTES DE MOVILIDAD. DISPOSITIVOS RECONOCIMIENTO ÓPTICO DE CARÁCTERES (OCR);001150;13301;62300;;120.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2023/000059;NUEVAS INFRAESTRUCTURAS DE TRÁFICO Y MEJORA DE LA MOVILIDAD. CONSTRUCCIÓN;001150;13301;62799;;1.450.233,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2023/000288;SISTEMAS DE CONTROL DE MOVILIDAD EN SEMÁFOROS. INSTALACIÓN;001150;13301;62799;;3.488.210,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2023/000289;CÁMARAS PARA EL CONTROL DE TRÁFICO EN VÍAS RÁPIDAS Y SISTEMAS CONTROL DE INFRACCIONES;001150;13301;62799;;890.077,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2023/000290;CENTROS DE CONTROL DE TRÁFICO, SISTEMAS INFORMÁTICOS Y PROYECTOS DE INNOVACIÓN;001150;13301;62799;;1.421.480,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2022/000615;OBRAS DE REFORMA DE APARCAMIENTOS PÚBLICOS;001150;13302;63200;;615.124,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;01;CONSERVACIÓN APARCAMIENTOS;998;VARIOS DISTRITOS
2023/000311;APARCAMIENTO EN PASEO ARTILLEROS S/N, DISTRITO DE VICÁLVARO. CONSTRUCCIÓN;001150;13302;62200;;2.710.000,00;07;INFRAESTRUCTURAS;02;CONSTRUCCIÓN Y/O ADQUISICIÓN DE APARCAMIENTOS;219;VICALVARO
2022/001384;CÁMARAS CONTROL DE ACCESO A MADRID ZONA BAJAS EMISIONES M-30 Y EXTERIOR M-30. INSTALACIÓN;001150;13360;62799;;499.378,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;998;VARIOS DISTRITOS
2011/000318;MADRID CALLE 30 S.A. INVERSIONES DE REPOSICIÓN;001150;15323;61901;;26.134.535,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;998;VARIOS DISTRITOS
2020/000278;OBRAS EJECUCIÓN NUDO NORTE M-30 MADRID;001150;15330;60999;;2.880.000,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;205;CHAMARTIN
2020/000278;OBRAS EJECUCIÓN NUDO NORTE M-30 MADRID;001150;15330;60999;;6.720.000,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;208;FUENCARRAL-EL PARDO
2022/000449;OBRAS DE INFRAESTRUCTURAS URBANAS DE MOVILIDAD EN LA CIUDAD DE MADRID;001150;15330;60999;;524.364,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2022/000611;PANTALLAS ACÚSTICAS EN INFRAESTRUCTURAS DE MOVILIDAD. INSTALACIÓN;001150;15330;60999;;688.531,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2022/001621;ANTIGUA PASARELA MANTEROLA. RECONSTRUCCIÓN E INSTALACIÓN SOBRE RÍO MANZANARES EN AV. ARCENTALES;001150;15330;60999;;10.576,00;07;INFRAESTRUCTURAS;04;CONSTRUCCIÓN PASARELAS PEATONALES;220;SAN BLAS - CANILLEJAS
2022/001683;ELECTROLINERA PARA RECARGA DE VEHÍCULOS ELÉCTRICOS C/ PIROTECNIA, 47. CONSTRUCCIÓN;001150;15330;60999;;376.529,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;219;VICALVARO
2023/003050;AVENIDA DE LAS TRECE ROSAS. AMPLIACIÓN, MEJORA DE LA MOVILIDAD Y ESPACIOS ESTANCIALES (ID 22: 17665);001150;15330;60999;5;20.000,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;215;CIUDAD LINEAL
2023/003051;CARRIL BICI SEGREGADO AV.DE LA GRAN VÍA DE SAN FRANCISCO Y GLORIETA PUERTA DE TOLEDO (ID 22: 18424);001150;15330;60999;5;60.000,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;201;CENTRO
2021/000496;CARRIL BICI EJE PRADO-RECOLETOS-CASTELLANA TRAMO PLAZA CASTILLA-RAIMUNDO FERNANDEZ VILLAVERDE;001150;15360;61904;;493.258,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;205;CHAMARTIN
2021/000496;CARRIL BICI EJE PRADO-RECOLETOS-CASTELLANA TRAMO PLAZA CASTILLA-RAIMUNDO FERNANDEZ VILLAVERDE;001150;15360;61904;;493.258,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;206;TETUÁN
2011/000318;MADRID CALLE 30 S.A. INVERSIONES DE REPOSICIÓN;001150;15374;61901;;7.065.983,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;998;VARIOS DISTRITOS
2023/001006;CAMPUS SUR UNIVERSIDAD POLITÉCNICA DE MADRID Y ENTORNOS ESCOLARES VALLECAS. ZONAS DE BAJAS EMISIONES;001150;15374;60999;;309.567,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;213;PUENTE DE VALLECAS
2023/001006;CAMPUS SUR UNIVERSIDAD POLITÉCNICA DE MADRID Y ENTORNOS ESCOLARES VALLECAS. ZONAS DE BAJAS EMISIONES;001150;15374;60999;;132.672,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;218;VILLA DE VALLECAS
2023/001007;PLATAFORMA AUTOBÚS DE TRÁNSITO PRIORITARIO VALDEBEBAS - HOSPITAL RAMÓN Y CAJAL. CONSTRUCCIÓN;001150;15374;60999;;1.988.154,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;208;FUENCARRAL-EL PARDO
2023/001007;PLATAFORMA AUTOBÚS DE TRÁNSITO PRIORITARIO VALDEBEBAS - HOSPITAL RAMÓN Y CAJAL. CONSTRUCCIÓN;001150;15374;60999;;7.952.617,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;216;HORTALEZA
2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;001150;16001;60914;;1.947.384,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2019/000544;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE REJAS. OBRAS ADECUACIÓN Y MEJORA;001150;16001;62700;;5.867.368,00;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;221;BARAJAS
2019/000545;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE VALDEBEBAS. OBRAS DE ADECUACIÓN Y MEJORA;001150;16001;62700;;15.269.310,00;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;221;BARAJAS
2019/000666;COLECTOR VICÁLVARO A, SECTOR LOS AHIJONES. CONSTRUCCIÓN;001150;16001;60914;;4.899.552,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2019/004321;DEPURADORA DE BUTARQUE CONSOLIDACIÓN DE LOS TERRENOS;001150;16001;61999;;200.000,00;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;217;VILLAVERDE
2021/000331;PROLONGACIÓN CAMINO FLUVIAL MI RÍO MANZANARES HASTA EL TÉRMINO MUNICIPAL DE GETAFE;001150;16001;61999;;172.494,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;218;VILLA DE VALLECAS
2021/001191;FUENTE ORNAMENTAL ENTRE LAS CALLES MARCELO USERA Y MANUEL NOYA. CONSTRUCCIÓN;001150;16001;60916;;245.786,00;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;212;USERA
2022/001389;PARQUE DE VALDEBERNARDO. OBRAS DE REHABILITACIÓN INSTALACIONES DE APROVECHAMIENTO AGUAS FREÁTICAS;001150;16001;61999;;50.000,00;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;219;VICALVARO
2023/003021;FUENTES MIXTAS ADAPTADAS PARA PERROS EN EL PARQUE DE PRADOLONGO. INSTALACIÓN (ID 22: 17503);001150;16001;60916;5;12.000,00;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;212;USERA
2023/003024;FUENTES PARA BEBER EN DIVERSAS UBICACIONES DEL DISTRITO DE MORATALAZ. INSTALACIÓN (ID 22: 18042);001150;16001;60916;5;25.000,00;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;214;MORATALAZ
2023/001514;NUEVOS PUNTOS LIMPIOS FIJOS EN LA CIUDAD DE MADRID. DISEÑO Y CONSTRUCCIÓN;001150;16210;62200;;150.000,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;998;VARIOS DISTRITOS
2021/000001;CENTRO DE TRATAMIENTO  LAS DEHESAS. SISTEMAS DE DESODORIZACIÓN;001150;16230;62701;;100.000,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2021/000002;CENTRO DE TRATAMIENTO LA PALOMA. SISTEMAS DE DESODORIZACIÓN;001150;16230;62701;;3.931.798,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2023/000029;CENTRO DE VISITANTES Y ANEXO VESTUARIOS EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ. REHABILITACIÓN;001150;16271;62701;;3.948.533,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2019/000344;NUEVA PLANTA DE MATERIA ORGÁNICA EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;001150;16278;62701;;19.761.919,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2022/000017;MOBILIARIO URBANO EN ÁREAS INFANTILES, ÁREAS DE MAYORES Y RENOVACIÓN DE OTROS ELEMENTOS;001150;16301;61913;;4.221.442,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2022/000546;APARCAMIENTOS PARA BICICLETAS Y VEHÍCULOS MOVILIDAD PERSONAL. INSTALACIÓN;001150;16301;60913;;433.998,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
